Unnamed: 0,person,text,type,book,ms,city,shelfmark,folia,date
0,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"Barcelona, Archivo de la Corona de Aragon Fonds Ripoll 130, f. 1r-83v, saec. xiii. (C,S)",Barcelona, Archivo de la Corona de Aragon Fonds Ripoll 130,1r-83v,xiii
1,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"Cambridge, Corpus Christi College 189, saec. xi, p. 253. (C)",Cambridge, Corpus Christi College 189,253,xi
2,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"Chartres, Bibliothèque municipale 14 (25), f. 66r-73r.]",Chartres, Bibliothèque municipale 14 (25),66r-73r,unknown
3,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"Copenhagen, Kongelige Bibliothek Gl. kgl. Saml. 1595 4o, f. 26r-40v, saec. xi. (C,S)",Copenhagen, Kongelige Bibliothek Gl. kgl. Saml. 1595 4o,26r-40v,xi
4,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"London, British Library Cotton Nero A I, f. 169v, saec. xi. (C)",London, British Library Cotton Nero A I,169v,xi
5,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"London, British Library Cotton Vitellius A VII, f. 65v, saec. xi. (C)",London, British Library Cotton Vitellius A VII,65v,xi
6,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"London, British Library Harley 438, f. 229. (C)",London, British Library Harley 438,229,unknown
7,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"Oxford, Bodleian Library Hatton 26, f. 75vb-82va, saec. xiii. (C)",Oxford, Bodleian Library Hatton 26,75vb-82va,xiii
8,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"Paris, Bibliothèque de l'Arsenal 854, f. 44-47. (S)",Paris, Bibliothèque de l'Arsenal 854,44-47,unknown
9,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"Paris, Bibliothèque nationale de France lat. 583, f. 47-48v. (S)",Paris, Bibliothèque nationale de France lat. 583,47-48v,unknown
10,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"Paris, Bibliothèque nationale de France lat. 3733, f. 49. Attributed to Steph. de Tornaco. (S)",Paris, Bibliothèque nationale de France lat. 3733,49,unknown
11,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"Paris, Bibliothèque nationale de France lat. 13203, f. 1v-172, saec. xii. St. Germain-des-Prés. (C,S)",Paris, Bibliothèque nationale de France lat. 13203,1v-172,xii
12,Abbo,Sermones (Flores Evangeliorum),Sermons,Gospels,"Paris, Bibliothèque nationale de France lat. 14935, f. 13. Attributed to Stephano de Tornaco. (S) 14. Paris, Bibliothèque nationale de France lat. 16463, f. 104. Attributed to Steph. de Tornaco. (S)",Paris, Bibliothèque nationale de France lat. 14935,13,unknown
13,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Auxerre, Bibliothèque municipale 21, f. 1-190v, saec. xii. (C)",Auxerre, Bibliothèque municipale 21,1-190v,xii
14,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Berlin, Staatsbibliothek - Preussischer Kulturbesitz Phillipps 1692, f. 1-141, saec. xi. (C,S)",Berlin, Staatsbibliothek - Preussischer Kulturbesitz Phillipps 1692,1-141,xi
15,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Cambridge, Queen's College 7, f. 76. (C)",Cambridge, Queen's College 7,76,unknown
16,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Cambridge, Trinity College 141 (B.4.27), f. 64r-148v, saec. x; P: Canterbury, Christ Church. (C)",Cambridge, Trinity College 141 (B.4.27),64r-148v,x
17,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Charleville, Bibliothèque municipale 234, saec. xiv? (C)",Charleville, Bibliothèque municipale 234,,xiv?
18,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Geneva, Bibliothèque Publique et Universitaire lat. 20, f. 1-152v, saec. xii. (C)",Geneva, Bibliothèque Publique et Universitaire lat. 20,1-152v,xii
19,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Lincoln, Cathedral 196 (B 4.9), f. 1-178, saec. xii. A(dalbertus), humillimus levitarum, reverendissimo in Christo patri H(erimanno) presbytero. (C,S)",Lincoln, Cathedral 196 (B 4.9),1-178,xii
20,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"London, British Library Arundel 218, f. 2-128, saec. xii. (C)",London, British Library Arundel 218,2-128,xii
21,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"London, British Library Royal 5.F.v., f. 1-78, saec. xiii. (C)",London, British Library Royal 5.F.v.,1-78,xiii
22,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"London, British Library Royal 8.F.viii, f. 2-72, saec. xiii. (C)",London, British Library Royal 8.F.viii,2-72,xiii
23,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"London, British Library Royal 8.F.x, f. 45-116, saec. xiii. (C)",London, British Library Royal 8.F.x,45-116,xiii
24,Adalbert,Speculum (Flores ex moralibus B Gregorii papae in Iob),Flores,Job,"Munich, Bayerische Staatsbibliothek clm 18542a, f. 1-156, saec. xii. (C)",Munich, Bayerische Staatsbibliothek clm 18542a,1-156,xii
