,text,shelfmark,person
55,Descriptio Cuiusdam Sapientis de Antichristo, Stiftsbibliothek 779,Adso
56,Descriptio Cuiusdam Sapientis de Antichristo, UniversitätBibliothek A.VI.37,Adso
57,Descriptio Cuiusdam Sapientis de Antichristo, Bibliothèque municipale 31 (33),Adso
58,Descriptio Cuiusdam Sapientis de Antichristo, Trinity College 509 (E.5.9.),Adso
59,Descriptio Cuiusdam Sapientis de Antichristo, Stiftsbibliothek 198,Adso
60,Descriptio Cuiusdam Sapientis de Antichristo, Bibliothèque municipale 620,Adso
61,Descriptio Cuiusdam Sapientis de Antichristo, El Escorial,Adso
62,Descriptio Cuiusdam Sapientis de Antichristo, Bayerische Staatsbibliothek clm 14721,Adso
63,Descriptio Cuiusdam Sapientis de Antichristo, Bodleian Library 365,Adso
64,Descriptio Cuiusdam Sapientis de Antichristo, Bodleian Library Can. script. Eccl. Lat. 39,Adso
65,Descriptio Cuiusdam Sapientis de Antichristo, Bodleian Library Digby 88,Adso
66,Descriptio Cuiusdam Sapientis de Antichristo, Bibliotheca Antoniana 473,Adso
67,Descriptio Cuiusdam Sapientis de Antichristo, Bibliothèque nationale de France lat. 2144,Adso
68,Descriptio Cuiusdam Sapientis de Antichristo, Bibliothèque nationale de France lat. 2462,Adso
69,Descriptio Cuiusdam Sapientis de Antichristo, Bibliothèque nationale de France lat. 3238,Adso
70,Descriptio Cuiusdam Sapientis de Antichristo, Bibliothèque nationale de France lat. 3454,Adso
71,Descriptio Cuiusdam Sapientis de Antichristo, Bibliothèque nationale de France lat. 5613,Adso
72,Descriptio Cuiusdam Sapientis de Antichristo, Bibliothèque nationale de France lat. 5997,Adso
73,Descriptio Cuiusdam Sapientis de Antichristo, Bibliothèque nationale de France n.a.l. 664,Adso
74,Descriptio Cuiusdam Sapientis de Antichristo, Knihovna Metropolitní Kapituli O.XLV,Adso
75,Descriptio Cuiusdam Sapientis de Antichristo, Bibliothèque municipale 290,Adso
76,Descriptio Cuiusdam Sapientis de Antichristo, Biblioteca Apostolica lat. 1783,Adso
77,Descriptio Cuiusdam Sapientis de Antichristo, Biblioteca Apostolica Reg. lat. 571,Adso
78,De ortu et tempore Antichristi, Bibliothèque Royale 5194-96,Adso
79,De ortu et tempore Antichristi, Országos Széchenyi Könyvtar 81,Adso
80,De ortu et tempore Antichristi, Corpus Christi College 190,Adso
81,De ortu et tempore Antichristi, Emmanuel College 27,Adso
82,De ortu et tempore Antichristi, Pembroke College 103,Adso
83,De ortu et tempore Antichristi, Universitätsbibliothek 176,Adso
84,De ortu et tempore Antichristi, British Library Harley 483,Adso
85,De ortu et tempore Antichristi, British Library Harley 1294,Adso
86,De ortu et tempore Antichristi, British Library Royal 6.A.XI,Adso
87,De ortu et tempore Antichristi, British Library Royal 8.F.VIII,Adso
88,De ortu et tempore Antichristi, Bibliothèque municipale 1212,Adso
89,De ortu et tempore Antichristi, Biblioteca Nazionale VII C 43,Adso
90,De ortu et tempore Antichristi, Bibliothèque nationale de France lat. 1750,Adso
91,De ortu et tempore Antichristi, Bibliothèque nationale de France lat. 3701,Adso
92,De ortu et tempore Antichristi, Bibliothèque nationale de France lat. 5390,Adso
93,De ortu et tempore Antichristi, Bibliothèque nationale de France lat. 8625,Adso
94,De ortu et tempore Antichristi, Bibliothèque nationale de France lat. 14575,Adso
95,De ortu et tempore Antichristi, Bibliothèque nationale de France lat. 16460,Adso
96,De ortu et tempore Antichristi, Universitni Knihovna X.A.7,Adso
97,De ortu et tempore Antichristi, Stiftsbibliothek 40,Adso
98,De ortu et tempore Antichristi, Bibliothèque municipale 262 (A2.95),Adso
99,De ortu et tempore Antichristi, Bibliothèque municipale 710,Adso
100,De ortu et tempore Antichristi, Biblioteca Apostolica lat. 3816,Adso
101,De ortu et tempore Antichristi, Biblioteca Apostolica Reg. Lat. 568,Adso
102,De ortu et tempore Antichristi, Biblioteca Apostolica Reg. Lat. 631,Adso
103,De ortu et tempore Antichristi, Österreichische Nationalbibliothek 1026,Adso
104,Interrogationes et responsiones in Genesim, Bibliothèque municipale 234 (225),Alcuin
105,Interrogationes et responsiones in Genesim, Staatsbibliothek Lit. 169,Alcuin
106,Interrogationes et responsiones in Genesim, Collegio di Spagna 17,Alcuin
107,Interrogationes et responsiones in Genesim, Trinity College 146 (B.4.32) ,Alcuin
108,Interrogationes et responsiones in Genesim, Bibliothèque municipale 29,Alcuin
109,Interrogationes et responsiones in Genesim, Bibliothèque municipale 113,Alcuin
110,Interrogationes et responsiones in Genesim, Hessische Landes- und Hochschulbibliothek 756,Alcuin
111,Interrogationes et responsiones in Genesim, Landes- Universitätsbibliothek B.3,Alcuin
112,Interrogationes et responsiones in Genesim, Stiftsbibliothek 60 (580; 4. Nr. 88),Alcuin
113,Interrogationes et responsiones in Genesim, Stiftsbibliothek 263,Alcuin
114,Interrogationes et responsiones in Genesim, Biblioteca Medicea Laurenziana,Alcuin
115,Interrogationes et responsiones in Genesim, Stiftsbibliothek 212,Alcuin
116,Interrogationes et responsiones in Genesim, Landesbibliothek Aug. Perg. ccv,Alcuin
117,Interrogationes et responsiones in Genesim, Stiftsbibliothek 101,Alcuin
118,Interrogationes et responsiones in Genesim, Stiftsbibliothek 132,Alcuin
119,Interrogationes et responsiones in Genesim, Nadškofijski Arhiv Fasc. 2 (or 1),Alcuin
120,Interrogationes et responsiones in Genesim, British Library Royal 8.E.xvi,Alcuin
121,Interrogationes et responsiones in Genesim, Lambeth Palace 148,Alcuin
122,Interrogationes et responsiones in Genesim, Bibliothèque municipale 228,Alcuin
123,Interrogationes et responsiones in Genesim, Bibliothèque de la Ville 43/219,Alcuin
124,Interrogationes et responsiones in Genesim, Biblioteca capitolare C-4/64 (LXXV),Alcuin
125,Interrogationes et responsiones in Genesim, Bayerische Staatsbibliothek Clm 13581,Alcuin
126,Interrogationes et responsiones in Genesim, Bayerische Staatsbibliothek Clm 14727,Alcuin
127,Interrogationes et responsiones in Genesim, Bayerische Staatsbibliothek Clm 14760,Alcuin
128,Interrogationes et responsiones in Genesim, Bayerische Staatsbibliothek Clm. 18746,Alcuin
129,Interrogationes et responsiones in Genesim, Bibliothèque municipale 191 (168),Alcuin
130,Interrogationes et responsiones in Genesim, Bodleian Library Can. Lat. Script. Eccl. 39,Alcuin
131,Interrogationes et responsiones in Genesim, Bodleian Library Laud Misc. 457 [1161],Alcuin
132,Interrogationes et responsiones in Genesim, Bodleian Library Barlow 35 [6467(55)],Alcuin
133,Interrogationes et responsiones in Genesim, Bodleian Library Tanner 4,Alcuin
134,Interrogationes et responsiones in Genesim, Bodleian Library Wood empt. 5,Alcuin
135,Interrogationes et responsiones in Genesim, Merton College L,Alcuin
136,Interrogationes et responsiones in Genesim, Queen's College CCCXLVIII,Alcuin
137,Interrogationes et responsiones in Genesim, Bibliothèque nationale de France lat. 1764,Alcuin
138,Interrogationes et responsiones in Genesim, Bibliothèque nationale de France lat. 1862,Alcuin
139,Interrogationes et responsiones in Genesim, Bibliothèque nationale de France lat. 1863,Alcuin
140,Interrogationes et responsiones in Genesim, Bibliothèque nationale de France lat. 2384,Alcuin
141,Interrogationes et responsiones in Genesim, Bibliothèque nationale de France lat. 13187,Alcuin
142,Interrogationes et responsiones in Genesim, Bibliothèque nationale de France lat. 13372,Alcuin
143,Interrogationes et responsiones in Genesim, Bibliothèque nationale de France lat. 13373,Alcuin
144,Interrogationes et responsiones in Genesim, Bibliothèque nationale de France lat. 15074,Alcuin
145,Interrogationes et responsiones in Genesim, Biblioteca Capitolare 3 (Dominicani 30),Alcuin
146,Interrogationes et responsiones in Genesim, St. Peters B.VI.20,Alcuin
147,Interrogationes et responsiones in Genesim, Ministerialbibliothek 33,Alcuin
148,Interrogationes et responsiones in Genesim, Stadtbibliothek 156/1213,Alcuin
149,Interrogationes et responsiones in Genesim, Bibliothèque municipale 552,Alcuin
150,Interrogationes et responsiones in Genesim, Bibliothèque municipale 2273,Alcuin
151,Interrogationes et responsiones in Genesim, Biblioteca Apostolica lat. 1008,Alcuin
152,Interrogationes et responsiones in Genesim, Biblioteca Apostolica Pal. lat. 289,Alcuin
153,Interrogationes et responsiones in Genesim, Österreichische Nationalbibliothek 1029 (Salisb. 190),Alcuin
154,Interrogationes et responsiones in Genesim, Österreichische Nationalbibliothek 1060 (Theol. 464),Alcuin
155,Interrogationes et responsiones in Genesim, Stiftsbibliothek 187,Alcuin
156,Interrogationes et responsiones in Genesim, Stiftsbibliothek 239,Alcuin
157,Interrogationes et responsiones in Genesim, Archivio della Badia 29,Alcuin
158,Interrogationes et responsiones in Genesim, Bibliothèque nationale de France lat. 528 (St. Martial 145; Regius 43214),Alcuin
159,Expositio in Psalmos poenitentiales, Dombibliothek CVI,Alcuin
160,Expositio in Psalmos poenitentiales, Biblioteca Capitolare 16 (xxx),Alcuin
161,Expositio in Psalmos poenitentiales, Landesbibliothek 135,Alcuin
162,Expositio in Psalmos poenitentiales, BU Section de Méd. 404,Alcuin
163,Expositio in Psalmos poenitentiales, Bayerische Staatsbibliothek Clm 2543,Alcuin
164,Expositio in Psalmos poenitentiales, Bayerische Staatsbibliothek Clm 14447,Alcuin
165,Expositio in Psalmos poenitentiales, Bibliothèque nationale de France lat. 2847,Alcuin
166,Expositio in Psalmos poenitentiales, University Library Garret 169 (Admont 729),Alcuin
167,Expositio in Psalmos poenitentiales, Bibliothèque municipale 118 (E.243),Alcuin
168,Expositio in Psalmos poenitentiales, Bibliothèque municippale 438 (E 346),Alcuin
169,Expositio in Psalmos poenitentiales, Stiftsbibliothek 267,Alcuin
170,Expositio in Psalmos poenitentiales, Österreichische Nationalbibliothek 458,Alcuin
171,Expositio in Psalmos poenitentiales, Cistercienser,Alcuin
172,Expositio in Psalmos graduales, Dombibliothek 106,Alcuin
173,Expositio in Psalmos graduales, Biblioteca capitolare 16 (XXX),Alcuin
174,Expositio in Psalmos graduales, Landesbibliothek Aug. perg. 135,Alcuin
175,Expositio in Psalmos graduales, BU Section de Méd. 404,Alcuin
176,Expositio in Psalmos graduales, Bayerische Staatsbibliothek clm 14447,Alcuin
177,Expositio in Psalmos graduales, Bibliothèque nationale de France lat. 2384,Alcuin
178,Expositio in Psalmos graduales, Bibliothèque nationale de France lat. 2847,Alcuin
179,Expositio in Psalmos graduales, Bibliothèque municipale 118,Alcuin
180,Expositio in Psalmos graduales, Bibliothèque municipale 438 (E. 346). (C),Alcuin
181,Expositio in Psalmos graduales, Stiftsbibliothek 267,Alcuin
182,Expositio in Psalmos graduales, Österreichische Nationalbibliothek 458,Alcuin
183,Expositio in Psalmo centesimum octauusdecimum, Dombibliothek 106,Alcuin
184,Expositio in Psalmo centesimum octauusdecimum, Biblioteca capitolare 16 (XXX),Alcuin
185,Expositio in Psalmo centesimum octauusdecimum, Landesbibliothek Aug. perg. 135,Alcuin
186,Expositio in Psalmo centesimum octauusdecimum, Biblioteca Ambrosiana R 42 sup.,Alcuin
187,Expositio in Psalmo centesimum octauusdecimum, Bayerische Staatsbibliothek clm 14447,Alcuin
188,Expositio in Psalmo centesimum octauusdecimum, Bibliothèque nationale de France lat. 2847,Alcuin
189,Expositio in Psalmo centesimum octauusdecimum, Bibliothèque municipale 438 (E. 346). (C),Alcuin
190,Expositio in Psalmo centesimum octauusdecimum, Stiftsbibliothek 267,Alcuin
191,Expositio in Psalmo centesimum octauusdecimum, Württembergische Landesbibliothek HB IV 14,Alcuin
192,Expositio in Psalmo centesimum octauusdecimum, Österreichische Nationalbibliothek 458,Alcuin
193,Compendium in Canticum Canticorum (versio brevior) Clavis 1220, Bibliothèque municipale 1079 (235),Alcuin
194,Compendium in Canticum Canticorum (versio brevior) Clavis 1220, Bibliothèque municipale 109,Alcuin
